excel_row,route_name,normalized_address
74,Курск 2,"307170, Курская область, город Железногорск, Курская улица, 33"
75,Курск 2,"Курская область, город Железногорск, Курская улица, 27"
76,Курск 2,"307500, Курская область, Дмитриевский район, город Дмитриев, Ленина улица, 71"
84,Курск 2,"307500, Курская область, Дмитриевский район, город Дмитриев, Красная улица, 95"
87,Курск 2,"307100, Курская область, Фатежский район, город Фатеж, Загородняя улица, 32"
89,Курск 2,"307100, Курская область, Фатежский район, город Фатеж, Загородняя улица, 24"
90,Курск 2,"307120, Курская область, Фатежский район, село Верхний Любаж, Комсомольская улица, 14"
