excel_row,route_name,normalized_address
244,"Аннинский район, Воронежская обл.","397482, Воронежская область, Таловский район, рабочий поселок Таловая"
245,"Аннинский район, Воронежская обл.","396346, Воронежская область, Каширский район, село Боево, Пролетарская улица, 12а"
