excel_row,route_name,normalized_address
37,Курск 3,"305025, Курская область, город Курск, Магистральный проезд, 1А"
38,Курск 3,"305025, Курская область, город Курск, Магистральный проезд, 3"
39,Курск 3,"307030, Курская область, Медвенский район, поселок городского типа Медвенка, улица Певнева, 98"
42,Курск 3,"307051, Курская область, Медвенский район, село Любицкое"
43,Курск 3,"306230, Курская область, Обоянский район, город Обоянь, Курская улица, 134 Б/3"
44,Курск 3,"306230, Курская область, Обоянский район, город Обоянь, Курская улица, 2"
45,Курск 3,"306230, Курская область, Обоянский район, город Обоянь, улица Ленина, 98"
48,Курск 3,"306230, Курская область, Обоянский район, город Обоянь, улица Ленина, 104"
49,Курск 3,"306230, Курская область, Обоянский район, город Обоянь, улица Ленина, 169"
50,Курск 3,"306137, Курская область, Солнцевский район, село Зуевка, Центральная улица, 8а"
52,Курск 3,"306137, Курская область, Солнцевский район, село Зуевка, улица Погореловка, 10"
55,Курск 3,"307000, Курская область, Мантуровский район, село Мантурово, улица Ленина, 47А"
56,Курск 3,"307060, Курская область, Тимский район, село Выгорное 1-е, Станционная улица, 54А"
