excel_row,route_name,normalized_address
118,"Каширский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, Ленина улица, 1а"
119,"Каширский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, Ленина улица, 21"
120,"Каширский район, Воронежская обл.","Воронежская область, Хохольский район, город Хохол, Центральная улица, 21"
121,"Каширский район, Воронежская обл.","396892, Воронежская область, Нижнедевицкий район, село Верхнее Турово, Холмистая улица, 73"
123,"Каширский район, Воронежская обл.","396942, Воронежская область, Семилукский район, село Девица, Крупской улица, 92д"
