excel_row,route_name,normalized_address
37,Тульская 2 область,"301955, Тульская область, Куркинский район, Самарская волость, село Владимирское"
39,Тульская 2 область,"Тульская область, Богородицкий район, город Богородицк, улица Волынкина, 40"
40,Тульская 2 область,"301767, Тульская область, город Донской, Центральный микрорайон, Западная улица, 2"
41,Тульская 2 область,"301765, Тульская область, город Донской, Центральный микрорайон, улица Герцена, 15А"
42,Тульская 2 область,"301657, Тульская область, Новомосковский район, город Новомосковск, улица Космонавтов, 41А"
43,Тульская 2 область,"301607, Тульская область, Узловский район, город Узловая, улица Генерала Васильева, 11/1"
44,Тульская 2 область,"300016, Тульская область, город Тула, Новотульская улица, 7"
