excel_row,route_name,normalized_address
321,Воронеж 4,"Воронежская область, Новоусманский район, село Новая Усмань, Дорожная улица, 57"
322,Воронеж 4,"396302, Воронежская область, Новоусманский сельский поселок Усманское 1-е, село Новая Усмань, Ростовская улица, 2/2"
324,Воронеж 4,"Воронежская область, город Воронеж, Ростовская улица, 2А"
325,Воронеж 4,"394008, Воронежская область, город Воронеж, Ростовская улица, 2 пав. 19"
326,Воронеж 4,"Воронежская область, город Воронеж, улица Красный Октябрь, 1Б/4"
327,Воронеж 4,"Воронежская область, город Воронеж, улица Циолковского, 31/3"
328,Воронеж 4,"394042, Воронежская область, город Воронеж, улица Минская, 17/2"
329,Воронеж 4,"Воронежская область, город Воронеж, улица Остужева, 35а"
330,Воронеж 4,"394033, Воронежская область, город Воронеж, Ленинский проспект, 172ж"
331,Воронеж 4,"Воронежская область, город Воронеж, Ленинский проспект, 156Н"
