excel_row,route_name,normalized_address
92,"Новоусманский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань, улица Ленина, 313"
94,"Новоусманский район, Воронежская обл.","396313, Воронежская область, Новоусманский район, село Бабяково, улица Индустриальная, 98"
95,"Новоусманский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань, улица Ямальская, 20"
96,"Новоусманский район, Воронежская обл.","396318, Воронежская область, Новоусманский район, село Хреновое, улица Киселева, 2а/2"
97,"Новоусманский район, Воронежская обл.","396311, Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 1/4, корпус 2"
99,"Новоусманский район, Воронежская обл.","396302, Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 1/4"
