,"Склад (Воронеж, ул. Перхоровича)","улица Дорожная, 57","Ростовская улица, 2/2","Ленина, 313","Набережная, 1а","Советская, 5","Электросигнальная, 17","Левый берег, торгово-развлекательный центр","Академика Королёва, 4"
"Склад (Воронеж, ул. Перхоровича)",0.0,13140.381857632474,13144.160865554513,19422.5268874502,20820.39874348803,22257.578674889704,26116.0348882087,16628.744229353673,32786.76861232553
"улица Дорожная, 57",13140.381857632474,0.0,1082.2719073116946,6517.997528841741,8789.966305781985,9515.046973157076,21005.174546022827,12995.867550329187,25917.070912249164
"Ростовская улица, 2/2",13144.160865554513,1082.2719073116946,0.0,6292.563035940261,9515.677814708593,10003.419019323446,22083.63434113252,14051.96074462909,26950.504393355954
"Ленина, 313",19422.5268874502,6517.997528841741,6292.563035940261,0.0,7490.7741392663265,6240.502489268362,23230.25126750208,17196.687885776904,26623.690356445994
"Набережная, 1а",20820.39874348803,8789.966305781985,9515.677814708593,7490.7741392663265,0.0,2584.890491993373,16117.280514773616,12023.157521890937,19133.57073748207
"Советская, 5",22257.578674889704,9515.046973157076,10003.419019323446,6240.502489268362,2584.890491993373,0.0,18403.001308420342,14595.751496239865,20854.288945160366
"Электросигнальная, 17",26116.0348882087,21005.174546022827,22083.63434113252,23230.25126750208,16117.280514773616,18403.001308420342,0.0,9543.66750696792,7124.135860374288
"Левый берег, торгово-развлекательный центр",16628.744229353673,12995.867550329187,14051.96074462909,17196.687885776904,12023.157521890937,14595.751496239865,9543.66750696792,0.0,16179.609801655917
"Академика Королёва, 4",32786.76861232553,25917.070912249164,26950.504393355954,26623.690356445994,19133.57073748207,20854.288945160366,7124.135860374288,16179.609801655917,0.0
