excel_row,route_name,input,found,type,description,lat,lon,error
3,"Эртильский район, Воронежская обл.","396110, Воронежская область, Верхнехавский район, село Верхняя Хава, улица Ленина, 46А","улица Ленина, 46а",building,🏠 Здание — высокая точность,51.8399,39.940141,
4,"Эртильский район, Воронежская обл.","396140, Воронежская область, рабочий поселок Панино, Первомайская улица, 21","Первомайская улица, 21",building,🏠 Здание — высокая точность,51.654759,40.137389,
5,"Эртильский район, Воронежская обл.","396154, Воронежская область, Панинский район, поселок Казиновка, Набережная улица, 15","Набережная улица, 15",building,🏠 Здание — высокая точность,51.642277,40.011132,
6,"Эртильский район, Воронежская обл.","396151, Воронежская область, Панинский район, село Криуша, Молодежная улица, 46а","Молодёжная улица, 46а",building,🏠 Здание — высокая точность,51.460001,40.04826,
7,"Эртильский район, Воронежская обл.","396209, Воронежская область, Аннинский район, поселок Новонадеждинский, Центральная улица, 15 А","Центральная улица, 15",building,🏠 Здание — высокая точность,51.445435,40.216956,
8,"Эртильский район, Воронежская обл.","396209, Воронежская область, Аннинский район, поселок Новонадеждинский, Центральная улица, 15 А","Центральная улица, 15",building,🏠 Здание — высокая точность,51.445435,40.216956,
9,"Эртильский район, Воронежская обл.","396211, Воронежская область, Аннинский район, село Старая Тойда",Старая Тойда,adm_div,adm_div,51.376815,40.40844,
