excel_row,route_name,input,found,type,description,lat,lon,error
102,Интернет магазин,"394091, Воронежская область, город Воронеж, Осенняя улица, 8А","Осенняя, 8а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.652782,39.095065,
103,Интернет магазин,"394038, Воронежская область, город Воронеж, Пеше-Стрелецкая улица, 90А","Пеше-Стрелецкая улица, 90а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.658362,39.137707,
104,Интернет магазин,"Воронежская область, город Воронеж, улица 9 Января, 87","улица 9 Января, 87",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.668539,39.165746,
105,Интернет магазин,"394026, Воронежская область, город Воронеж, Солнечная улица, 10б","Солнечная улица, 10Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.686883,39.165833,
106,Интернет магазин,"394065, Воронежская область, город Воронеж, Солнечная улица, 10/6","Солнечная улица, 10/6",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.685546,39.166462,
107,Интернет магазин,"394016, Воронежская область, город Воронеж, Солнечная улица, 101","Солнечная улица, 101",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.698813,39.163544,
108,Интернет магазин,"394026, Воронежская область, город Воронеж, проспект Труда, 48/Г","проспект Труда, 48",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.67705,39.170741,
109,Интернет магазин,"394026, Воронежская область, город Воронеж, проспект Труда, 48Г","проспект Труда, 48",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.67705,39.170741,
110,Интернет магазин,"394026, Воронежская область, город Воронеж, проспект Труда, 48","проспект Труда, 48",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.67705,39.170741,
