excel_row,route_name,input,found,type,description,lat,lon,error
13,Липецк 2,"399870, Липецкая область, Лев-Толстовский район, поселок Лев Толстой, Октябрьская улица, 1б","Октябрьская улица, 1Б",building,🏠 Здание — высокая точность,53.209816,39.467203,
14,Липецк 2,"399853, Липецкая область, Данковский район, город Данков, улица Кирова, 45","улица Кирова, 45",building,🏠 Здание — высокая точность,53.249606,39.117591,
16,Липецк 2,"399839, Липецкая область, Данковский район, село Ярославы, Набережная улица, 8","Набережная улица, 8",building,🏠 Здание — высокая точность,53.276922,38.877946,
17,Липецк 2,"399832, Липецкая область, Данковский район, село Зверево",Зверево,adm_div,adm_div,53.139583,38.852274,
18,Липецк 2,"399761, Липецкая область, Елецкий район, село Талица, Советская улица",Советская улица,street,📍 Улица — средняя точность,52.709598,38.722625,
