excel_row,route_name,input,found,type,description,lat,lon,error
92,"Новоусманский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань, улица Ленина, 313","Ленина, 313",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.649273,39.420666,
94,"Новоусманский район, Воронежская обл.","396313, Воронежская область, Новоусманский район, село Бабяково, улица Индустриальная, 98","Индустриальная, 98",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.7103,39.46352,
95,"Новоусманский район, Воронежская обл.","396310, Воронежская область, Новоусманский район, село Новая Усмань, улица Ямальская, 20","Ямальская, 20",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.66208,39.432218,
96,"Новоусманский район, Воронежская обл.","396318, Воронежская область, Новоусманский район, село Хреновое, улица Киселева, 2а/2","улица Киселёва, 2а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.675802,39.608425,
97,"Новоусманский район, Воронежская обл.","396311, Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 1/4, корпус 2","улица Дорожная, 1/4",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.617098,39.370977,
99,"Новоусманский район, Воронежская обл.","396302, Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 1/4","улица Дорожная, 1/4",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.617098,39.370977,
