excel_row,route_name,input,found,type,description,lat,lon,error
178,"Острогожский район, Воронежская обл.","396340, Воронежская область, Каширский район, поселок Колодезный, Ленина улица, 21","улица Ленина, 21",building,🏠 Здание — высокая точность,51.35182,39.300585,
179,"Острогожский район, Воронежская обл.","396070, Воронежская область, город Нововоронеж, Мира улица, 8г",улица Мира,street,📍 Улица — средняя точность,51.310573,39.215063,
180,"Острогожский район, Воронежская обл.","396370, Воронежская область, Репьевский район, село Репьевка, Октябрьская улица, 8а","Октябрьская улица, 8",building,🏠 Здание — высокая точность,51.078057,38.63823,
181,"Острогожский район, Воронежская обл.","396370, Воронежская область, Репьевский район, село Репьевка, Советская улица, 7а","Советская улица, 7а",building,🏠 Здание — высокая точность,51.075193,38.639526,
182,"Острогожский район, Воронежская обл.","Воронежская область, Острогожский район, город Острогожск, улица 50 лет Октября, 19","улица 50 лет Октября, 19",building,🏠 Здание — высокая точность,50.85321,39.058422,
183,"Острогожский район, Воронежская обл.","397855, Воронежская область, город Острогожск, Кирова улица, 110, 2","улица Кирова, 110",building,🏠 Здание — высокая точность,50.855875,39.05379,
184,"Острогожский район, Воронежская обл.","397855, Воронежская область, Острогожский район, город Острогожск, Ленина улица, 28А","улица Ленина, 28а",building,🏠 Здание — высокая точность,50.859358,39.078327,
185,"Острогожский район, Воронежская обл.","397813, Воронежская область, Острогожский район, село Коротояк, Карла Маркса улица, 13б","улица Карла Маркса, 13Б",building,🏠 Здание — высокая точность,50.984574,39.185653,
