excel_row,route_name,input,found,type,description,lat,lon,error
58,Воронеж ЛБ,"Воронежская область, город Воронеж, улица Ростовская, 2","Ростовская улица, 2",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.621282,39.251734,
60,Воронеж ЛБ,"394002, Воронежская область, город Воронеж, улица Димитрова, 134Б","Димитрова, 134Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.640596,39.302415,
61,Воронеж ЛБ,"Воронежская область, Новоусманский район, село Новая Усмань, Ростовская улица, 2Б","Ростовская улица, 2Б",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.612502,39.382888,
65,Воронеж ЛБ,"Воронежская область, Новоусманский район, село Новая Усмань, улица Дорожная, 4А","улица Дорожная, 4а",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.616286,39.37085,
66,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, улица Землячки, 25","Землячки, 25",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.724109,39.295444,
67,Воронеж ЛБ,"394033, Воронежская область, город Воронеж, проспект Ленинский, 172ж","Ленинский проспект, 172ж",exact,"<span class=""accuracy-tag tag-exact"">🏠 Здание — высокая точность</span>",51.69221,39.270401,
