excel_row,route_name,input,found,type,description,lat,lon,error
297,Воронеж 5,"394090, Воронежская область, город Воронеж, Новосибирская улица, 61Д","Новосибирская улица, 61д",building,🏠 Здание — высокая точность,51.594504,39.239797,
298,Воронеж 5,"394090, Воронежская область, город Воронеж, Ростовская улица, 41",Воронежский шинный завод (ВШЗ),building,🏠 Здание — высокая точность,51.606971,39.245612,
299,Воронеж 5,"394033, Воронежская область, город Воронеж, Ленинский проспект, 70","Ленинский проспект, 70",building,🏠 Здание — высокая точность,51.653322,39.243171,
300,Воронеж 5,"394091, Воронежская область, город Воронеж, Осенняя улица, 8А","Осенняя, 8а",building,🏠 Здание — высокая точность,51.652782,39.095065,
301,Воронеж 5,"Воронежская область, город Воронеж, проспект Патриотов, 43Г","проспект Патриотов, 43г",building,🏠 Здание — высокая точность,51.646122,39.122431,
302,Воронеж 5,"394051, Воронежская область, город Воронеж, улица Героев Сибиряков, 23, IV","улица Героев Сибиряков, 23",building,🏠 Здание — высокая точность,51.650911,39.137835,
303,Воронеж 5,"394038, Воронежская область, город Воронеж, улица Домостроителей, 1","Домостроителей, 1",building,🏠 Здание — высокая точность,51.657332,39.145675,
304,Воронеж 5,"394038, Воронежская область, город Воронеж, Дорожная улица, 15","Дорожная, 15",building,🏠 Здание — высокая точность,51.664066,39.140067,
306,Воронеж 5,"394026, Воронежская область, город Воронеж, проспект Труда, 48","проспект Труда, 48",building,🏠 Здание — высокая точность,51.67705,39.170741,
307,Воронеж 5,"394065, Воронежская область, город Воронеж, Солнечная улица, 10/6","Солнечная улица, 10/6",building,🏠 Здание — высокая точность,51.685546,39.166462,
308,Воронеж 5,"394026, Воронежская область, город Воронеж, Солнечная улица, 10б","Солнечная улица, 10Б",building,🏠 Здание — высокая точность,51.686883,39.165833,
309,Воронеж 5,"394088, Воронежская область, город Воронеж, улица Хользунова, 122","АРЛАН, бизнес-центр",building,🏠 Здание — высокая точность,51.703652,39.13665,
310,Воронеж 5,"394075, Воронежская область, город Воронеж, улица Академика Королева, 4, е","Академика Королёва, 4",building,🏠 Здание — высокая точность,51.736033,39.158576,
